surname,name,patronymic,birth_month,birth_year,department,telephone,electronic_mail
gunichev,arkadiy,yrievich,May,1959,IT,84957905120,gunichev@yandex.ru
hohina,liza,petrovna,November,2002,IT,84955697386,hohina@yandex.ru
bashkarov,gerasim,mihailovich,March,1960,IT,84951872518,bashkarov@yandex.ru
malkov,evgeniy,ivanovich,July,2002,IT,84956766828,malkov@yandex.ru
shalikova,nadezhda,egorovna,October,1938,IT,8495635589,shalikova@yandex.ru
shahnovskaya,sofiya,romanovna,June,1925,IT,8495597776,shahnovskaya@yandex.ru
lagutaeva,mariya,nikolaevna,September,1942,IT,84959388834,lagutaeva@yandex.ru
dolakov,eduard,timofeevich,November,2000,IT,84953577265,dolakov@yandex.ru
kirynina,darya,alekseevna,June,1972,IT,8495909635,kirynina@yandex.ru
litfullin,maksim,yakovlevich,May,2020,IT,84954702973,litfullin@yandex.ru
nezhelaeva,olga,evgenevna,June,1978,IT,8495926271,nezhelaeva@yandex.ru
vahoshina,kristina,viktorovna,May,1940,IT,84957411292,vahoshina@yandex.ru
kolontaev,maksim,fedorovich,August,2018,IT,8495505401,kolontaev@yandex.ru
kulesskaya,tamara,egorovna,April,1935,IT,8495256547,kulesskaya@yandex.ru
kotkin,gerasim,leonidovich,April,1971,IT,84957854832,kotkin@yandex.ru
kondronina,viktoriya,dmitrievna,November,2017,IT,8495441220,kondronina@yandex.ru
daskalov,gennadiy,vitalievich,April,1962,IT,84955051241,daskalov@yandex.ru
sitanskiy,boris,evgenevich,December,1965,IT,84953204999,sitanskiy@yandex.ru
shumaraev,viktor,kirillovich,July,1937,IT,8495352415,shumaraev@yandex.ru
masetkin,fedor,olegovich,February,2010,IT,84952757494,masetkin@yandex.ru
shamatonova,svetlana,borisovna,November,1959,IT,8495189641,shamatonova@yandex.ru
liburkina,tamara,vadimovna,October,1959,IT,84952508150,liburkina@yandex.ru
sinyshkin,fedor,danilovich,October,2006,IT,84954764191,sinyshkin@yandex.ru
teneshova,elizaveta,sergeevna,October,2000,IT,84952171726,teneshova@yandex.ru
shumarin,vasiliy,georgievich,August,2000,IT,84957239377,shumarin@yandex.ru
gorkushova,klavdiya,andreevna,August,1935,IT,8495102231,gorkushova@yandex.ru
elyasova,elizaveta,arkadevna,September,2001,IT,84954688095,elyasova@yandex.ru
skarednova,karina,romanovna,October,2008,IT,84954976216,skarednova@yandex.ru
rolschikova,violetta,eduardovna,December,1958,IT,8495529607,rolschikova@yandex.ru
hardinov,pavel,viktorovich,May,2002,IT,84953234062,hardinov@yandex.ru
bashilova,natalya,olegovna,May,2013,IT,849582675,bashilova@yandex.ru
mineenkov,yriy,kirillovich,January,1989,IT,84951899760,mineenkov@yandex.ru
novoevskiy,anatoliy,antonovich,October,1984,IT,8495952814,novoevskiy@yandex.ru
shveynov,vladislav,aleksievich,November,2015,IT,84955969730,shveynov@yandex.ru
yandimirova,nataliya,eduardovna,November,2001,IT,8495834934,yandimirova@yandex.ru
shalovina,anna,evgenevna,May,1994,IT,84955694299,shalovina@yandex.ru
hrestin,andrey,andreevich,July,1976,IT,84951205570,hrestin@yandex.ru
manzhosina,alla,vadimovna,May,1927,IT,84954197578,manzhosina@yandex.ru
zyhina,ekaterina,sergeevna,February,1947,IT,84958947823,zyhina@yandex.ru
gradina,sofiya,igorevna,August,1927,IT,84956715057,gradina@yandex.ru
krutalova,mariya,eduardovna,October,2017,IT,84952498561,krutalova@yandex.ru
ugadova,elizaveta,leonidovna,June,2014,IT,84957068968,ugadova@yandex.ru
filyanskiy,yakov,petrovich,March,1967,IT,8495785760,filyanskiy@yandex.ru
zhibkov,stepan,yrievich,December,1956,IT,84953976330,zhibkov@yandex.ru
zalozhina,mariya,sergeevna,May,1970,IT,84957072328,zalozhina@yandex.ru
tarmosin,taras,leonidovich,November,1922,IT,84957838212,tarmosin@yandex.ru
pahrov,denis,olegovich,December,1955,IT,84957029758,pahrov@yandex.ru
